tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
481,2,31,0,0858333333333335
482,2,24,0,00833333333333323
483,2,35,0,0166666666666664
484,2,26,-0,0883333333333334
485,2,27,0,2275
486,2,66,0,328333333333333
487,2,82,0,0275000000000002
488,2,72,-0,246666666666667
489,2,42,-0,2
490,2,42,0,241666666666667
491,2,82,0,3325
492,3,02,0,190833333333333
493,3,23,0,1575
494,3,41,0,446666666666667
495,4,05,0,520833333333333
496,4,22,-0,3025
497,3,46,-1,0825
498,2,32,-0,8475
499,1,84,-0,4075
500,1,43,-0,319166666666667
501,1,23,-0,0541666666666667
502,1,27,0,02
503,1,21,-0,181666666666667
504,1,03,0,0775
505,1,49,0,920833333333333
506,2,58,0,560833333333333
507,2,56,0,0574999999999999
508,2,86,0,214166666666667
509,3,04,0,545
510,3,85,0,575833333333333
511,3,94,-0,415833333333333
512,3,15,-0,795
513,2,43,-1,01833333333333
514,1,31,-0,5025
515,1,44,0,169166666666667
516,1,26,-0,850833333333333
517,0,-0,72
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,-0,1310397
528,0,0,7909136
529,1,5724764,1,738731625
530,3,088848,1,1581679
531,3,8460045,0,564864983333333
532,4,29021,0,260878233333333
533,4,4049926,0,0254784583333337
534,4,430214,0,128938041666667
535,4,660295,0,207776433333333
536,4,7853727,0,0364595000000007
537,4,752945,-0,0195168499999997
538,4,7339,-0,144594208333334
539,4,4827156,-0,210563941666667
540,4,358668,-0,11902945
541,4,2778563,0,0743772583333336
542,4,523379,0,397923325000001
543,4,9078765,0,0631391583333333
544,4,6237497,-0,370943166666667
545,4,323152,-0,157290591666667
546,4,296901,-0,0251784416666669
547,4,180574,-0,324661108333333
548,3,785267,-0,0348296583333331
549,4,1260133,0,317540983333333
550,4,2783713,0,0848006166666665
551,4,3149166,0,0107233666666667
552,4,278886,-0,155746525
553,4,0014505,-0,369570666666667
554,3,6396008,-0,202586075
555,3,635483,0,105603875
556,3,7821789,0,14969835
557,3,8748288,0,00827848333333336
558,3,757987,-0,256288783333333
559,3,342606,-0,632679483333333
560,2,5998619,-0,598064158333333
561,2,2019818,-0,381966783333333
562,1,8097633,-0,317026091666667
563,1,6054186,-0,0285241833333333
564,1,6316694,-0,173118258333333
565,1,1195208,-0,953994716666667
566,0,-0,61037475
567,0,0,0932934
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,-0,142234908333333
588,0,0,985607283333333
589,1,7068189,1,00117755
590,1,8272638,0,331223791666667
591,2,6039798,0,762475258333333
592,3,2026017,0,469340883333333
593,3,559819,0,2585193
594,3,8418868,0,557272591666667
595,4,616029,0,6317357
596,4,9650106,0,139532483333334
597,4,963981,-0,0111952333333336
598,4,951113,-0,192634983333333
599,4,639191,-0,160850566666667
600,4,6783104,0,0602226166666664
601,4,711767,0,0877170499999999
602,4,8090496,-0,048040575
603,4,6325,-0,103459141666666
604,4,6206613,-0,0656701666666666
605,4,4461703,-0,278464591666667
606,4,106454,-0,266883275
607,3,8604167,-0,429192741666667
608,3,1372318,-1,12025000833333
609,1,8427056,-0,945458816666667
610,1,4077653,-0,24766725
611,1,3701905,0,480879183333333
612,2,329118,1,10583788333333
613,3,442977,1,18115880833333
614,4,7200027,1,52649443333333
615,6,3233624,1,25317705833333
616,7,054268,0,322173258333333
617,7,0789747,-0,111994883333334
618,6,898822,-0,38153805
619,6,423733,-0,219357566666666
620,6,390791,-0,287515
621,5,6470175,-1,18682093333333
622,4,135278,-1,62304790833333
623,2,6214802,-1,27968500833333
624,1,6630675,-0,67321375
625,1,2255536,-0,299225241666667
626,1,0464302,0,0705169416666667
627,1,2790847,0,144851425
628,1,245113,-0,176120775
629,1,0767989,0,166727175
630,1,5415931,0,341217891666667
631,1,6501994,0,0585067833333334
632,1,7377023,0,172260391666667
633,1,9435911,0,0412635416666666
634,1,821602,-0,0844572833333333
635,1,8262345,0,00197304166666679
636,1,8123369,0,032641875
637,1,8457938,-0,130010216666667
638,1,5863739,-0,127007625
639,1,5786531,-0,207004125
640,1,1993028,-0,199240383333333
641,1,2332745,0,0172431666666668
642,1,2142297,0,170458825
643,1,4911503,0,104488608333333
644,1,2168033,-0,892914391666667
645,0,-0,686939675
646,0,0,101400275
647,0,0
648,0,0
649,0,0
650,0,-0,274775883333333
651,0,1,84390660833333
652,3,2973106,2,43450741666667
653,4,2516055,0,559031016666667
654,4,798755,0,525359799999999
655,5,303183,0,29836765
656,5,405613,0,0603511583333335
657,5,5260577,0,225362258333334
658,5,8575387,0,389044341666666
659,6,2142415,0,183498708333333
660,6,2425513,0,080596891666667
661,6,404174,0,095738316666667
662,6,409836,0,00223047499999966
663,6,4036593,-0,143779041666667
664,6,211668,0,105475216666667
665,6,5441785,0,0472254833333334
666,6,268287,-0,193921725
667,6,2899055,0,169086400000001
668,6,5045447,0,0367597250000001
669,6,4052033,0,0645548749999998
670,6,7495527,0,61796705
671,7,475311,0,499623566666667
672,7,6498017,0,0221760583333338
673,7,6117125,-0,103201966666667
674,7,574652,0,286614308333333
675,8,112537,0,389602291666667
676,8,217026,-0,052587466666667
677,8,075477,-0,123619466666667
678,7,9092216,-0,427219358333333
679,7,1335354,-1,0991464
680,5,8081255,-1,38837748333333
681,4,456465,-1,321034625
682,3,1531882,-1,41184016666667
683,1,7464525,-1,01734838333333
684,1,0701075,-0,901535983333333
685,0,-0,567867291666667
686,0,-0,126407208333333
687,0,1,48347241666667
688,2,586994,1,71248080833333
689,2,894283,-0,174533883333333
690,2,6044943,-0,347995183333334
691,2,234409,-0,606642916666666
692,1,4839442,-0,586482991666667
693,1,2095972,0,00750630833333321
694,1,4437958,0,34786645
695,1,8231461,0,418640716666667
696,2,217938,0,253071816666667
697,2,3790462,0,285499341666667
698,2,8541348,0,6437888
699,3,4867284,0,215325416666667
700,3,35393,0,0717179166666669
701,3,7935028,0,648550175
702,4,447715,0,358632833333333
703,4,4544063,-0,0993845999999995
704,4,337564,-0,216998241666666
705,4,10491,-0,0804680083333334
706,4,2557235,0,3920466
707,4,7652984,0,371629383333333
708,4,916112,0,0425075416666668
709,4,9284654,0,0633965000000003
710,5,050969,0,0268510833333327
711,5,0833964,0,44669325
712,5,833347,0,433139
713,5,8271704,-0,0654127166666669
714,5,803493,-0,11628435
715,5,629517,-0,0722327749999998
716,5,647532,-0,118686533333333
717,5,4462757,0,109936533333334
718,5,761801,-0,156818591666667
719,5,2244306,-0,0324707999999999
720,5,7545943,0,377891900000001
721,5,7782717,-0,0851862
722,5,657827,-0,178866041666667
723,5,4725266,-0,0982693583333333
724,5,455026,-0,117056233333333
725,5,335096,0,360991966666667
726,5,963057,-0,0633539166666669
727,5,204871,-0,510175583333333
728,5,173473,0,0554615000000005
729,5,140531,-0,227764466666667
730,4,782799,-0,197224633333333
