tiempo;VELOCIDAD;ACELERACION;;
252;3,04;0,308333333;;3,38
253;3,51;0,135;;4,47
254;3,35;0,105;;4,43
255;3,81;0,4675;;5,24
256;4,18;0,343333333;;6,42
257;4,54;0,455833333;;7,6
258;5,07;0,48;;7,95
259;5,46;0,345;;8,34
260;5,78;0,305;;8,72
261;6,08;0,311666667;;8,82
262;6,37;0,2025;;8,88
263;6,44;-0,085833333;;8,83
264;6,23;-0,305833333;;8,35
265;5,99;0,143333333;;7,26
266;6,44;0,2625;;9
267;6,4;-0,113333333;;7
268;6,36;0,21;;11,12
269;6,71;0,035833333;;11,44
270;6,4;-0,273333333;;11,4
271;6,29;-0,0625;;11,32
272;6,28;0,119166667;;11,06
273;6,5;0,256666667;;9,36
274;6,65;-0,205;;6,99
275;6,17;-0,319166667;;4,66
276;6,1;-0,135;;3,34
277;5,93;0,1325;;2,41
278;6,35;0,4425;;2,31
279;6,58;-0,095;;2,27
280;5,99;-1,311666667;;1,94
281;4,19;-1,655;;2
282;2,97;-0,8625;;0
283;2,28;-0,99;;0
284;1,06;-0,8075;;0
285;0,79;-0,096666667;;1,88
286;0,74;0,093333333;;2,63
287;0,88;-0,065833333;;4,11
288;0,66;-0,025;;5,03
289;0,94;0,470833333;;5,5
290;1,52;0,675;;5,94
291;2,11;0,124166667;;6,57
292;1,92;0,1725;;7,35
293;2,65;1,0625;;7,92
294;3,77;0,800833333;;7,81
295;4,16;0,2125;;7,76
296;4,39;0,480833333;;8,16
297;5,06;0,413333333;;8,2
298;5,2;0,2875;;8,17
299;5,68;0,41;;7,54
300;5,9;0,015;;6,93
301;5,74;-0,196666667;;7,09
302;5,5;-0,51;;6,27
303;4,84;-0,366666667;;6,7
304;4,82;0,0125;;6,97
305;4,7;-0,3175;;7,1
306;4,23;-0,315;;7,23
307;3,93;-0,959166667;;7,42
308;2,44;-1,138333333;;7,54
309;1,89;-0,369166667;;7,47
310;1,57;-0,184166667;;7,34
311;1,4;-0,4325;;6,81
312;0,73;-0,670833333;;6,35
313;0,36;0,214166667;;5,79
314;1,3;1,770833333;;5,58
315;3,39;1,313333333;;5,35
316;3,72;0,114166667;;4,59
317;3,96;0,3875;;2,97
318;4,49;0,483333333;;3,28
319;4,9;0,505833333;;1,59
320;5,44;0,283333333;;1,31
321;5,49;0,188333333;;1,4
322;5,81;0,076666667;;0,93
323;5,6;-0,238333333;;1,46
324;5,4;-0,235;;0,46
325;5,07;-0,441666667;;0
326;4,39;-1,185833333;;0,4
327;2,82;-1,554166667;;0,77
328;1,63;-0,541666667;;2,28
329;1,64;-0,028333333;;2,5
330;1,45;0,070833333;;3,2
331;1,72;-0,065;;3,43
332;1,42;0,245;;3,99
333;2,18;0,460833333;;3,88
334;2,19;0,06;;3,82
335;2,35;-0,063333333;;4,55
336;2,06;-0,226666667;;4,81
337;1,9;-0,411666667;;4,97
338;1,31;-0,405833333;;5,15
339;1,29;0,445833333;;5,26
340;2,05;0,669166667;;5,33
341;2,47;0,295833333;;5,16
342;2,72;0,329166667;;5,04
343;3,1;0,186666667;;5,1
344;3,14;0,215;;4,21
345;3,59;0,523333333;;2,85
346;4,06;0,2775;;1,87
347;4,18;0,224166667;;1,59
348;4,53;0,235833333;;1,38
349;4,66;0,2675;;1,19
350;5,07;0,379166667;;1,19
351;5,29;-0,095833333;;1,89
352;5,02;-0,036666667;;1,85
353;5,41;1,4075;;2,51
354;6,47;-3,188333333;;3,74
355;0;-3,8625;;4,42
356;0;0,539166667;;5
357;0;0;;5,2
358;0;-0,375833333;;5,68
359;0;2,669166667;;5,46
360;4,51;2,41;;5,43
361;4,05;-0,946666667;;5,74
362;3,48;-0,460833333;;5,64
363;3,12;-0,446666667;;5
364;2,6;-0,419166667;;4,32
365;2,37;-0,006666667;;4,32
366;2,51;0,104166667;;4,22
367;2,48;-0,1175;;4,21
368;2,23;-0,530833333;;3,78
369;1,54;-0,493333333;;3,26
370;1,36;0,001666667;;2,59
371;1,44;-0,049166667;;1,9
372;1,41;0,5375;;1,64
373;2,53;1,28;;1,2
374;3,63;0,658333333;;1,31
375;3,84;0,086666667;;1,85
376;3,99;0,24;;2,22
377;4,37;0,545833333;;2,57
378;4,99;0,495833333;;2,95
379;5,29;0,18;;3,04
380;5,4;0,100833333;;3,51
381;5,49;-0,043333333;;3,35
382;5,38;0,1125;;3,81
383;5,65;-0,003333333;;4,18
384;5,33;-0,324166667;;4,54
385;5,13;-0,091666667;;5,07
386;5,11;-0,055;;5,46
387;4,99;-0,146666667;;5,78
388;4,87;-0,006666667;;6,08
389;4,97;0,133333333;;6,37
390;5,03;-0,096666667;;6,44
391;4,67;-0,71;;6,23
392;3,63;-1,305;;5,99
393;2,29;-1,039166667;;6,44
394;1,65;-0,453333333;;6,4
395;1,3;-0,245833333;;6,36
396;1,15;0,000833333;;6,71
397;1,24;-0,045;;6,4
398;1,16;0,3125;;6,29
399;1,92;0,916666667;;6,28
400;2,84;0,975833333;;6,5
401;3,68;0,308333333;;6,65
402;3,53;-0,085833333;;6,17
403;3,74;0,4825;;6,1
404;4,35;0,379166667;;5,93
405;4,45;0,118333333;;6,35
406;4,66;0,193333333;;6,58
407;4,8;0,065;;5,99
408;4,83;0,125;;4,19
409;5,03;0,084166667;;2,97
410;5;0,0425;;2,28
411;5,15;0,151666667;;1,06
412;5,28;0,173333333;;0,79
413;5,45;0,015;;0,74
414;5,32;-0,116666667;;0,88
